gh_id,paper_doi,reuse_type,comment,citation_number,reused_doi,alt_url,page_num,,,,,,,,,,,,,,,,,,
XueqiYang,https://doi.org/10.1145/3368089.3409751,replication,implemented using the ANTLR parser generator [25],25,https://dl.acm.org/doi/10.5555/2501720,,391,,,,,,,,,,,,,,,,,,
XueqiYang,https://doi.org/10.1145/3368089.3409751,stepping stone,built on top of the ActiveDocumentation system for working with design rules [23].,23,https://ieeexplore.ieee.org/document/8818816,,390,,,,,,,,,,,,,,,,,,
XueqiYang,https://dl.acm.org/doi/10.1145/3368089.3409746,dataset,We conduct this study based on GHTorrent database [10],10,https://dl.acm.org/doi/10.5555/2487085.2487132,,400,,,,,,,,,,,,,,,,,,
XueqiYang,https://dl.acm.org/doi/10.1145/3368089.3409746,metrics,we utilize the Mann-Whitney U test to compare the two independent groups [25].,25,https://www.tqmp.org/RegularArticles/vol04-1/p013/p013.pdf,,402,,,,,,,,,,,,,,,,,,
XueqiYang,https://dl.acm.org/doi/10.1145/3368089.3409746,metrics,The following metrics are borrowed from a study evaluating software changes [31].,31,https://dl.acm.org/doi/10.1145/2393596.2393670,,404,,,,,,,,,,,,,,,,,,
XueqiYang,https://dl.acm.org/doi/10.1145/3368089.3409701,stepping stone,We report this paper under an adapted CONSORT format [9] used for reporting randomized controlled trials,9,https://doi.org/10.1136/bmj.c869,,411,,,,,,,,,,,,,,,,,,
XueqiYang,https://dl.acm.org/doi/10.1145/3368089.3409702,replication,All the code used for tasks and to perform the experiment can be found the replication package artifact [32].,32,https://dl.acm.org/doi/abs/10.1145/3368089.3409701,,414,,,,,,,,,,,,,,,,,,
XueqiYang,https://dl.acm.org/doi/10.1145/3368089.3409703,method,followed the covariate adaptive randomization approach [26],26,10.4103/0974-1208.82352,,414,,,,,,,,,,,,,,,,,,
XueqiYang,https://dl.acm.org/doi/10.1145/3368089.3409724,dataset,dataset reuse,,https://doi.org/10.1016/j.jss.2019.110487,,422,,,,,,,,,,,,,,,,,,
XueqiYang,https://dl.acm.org/doi/10.1145/3368089.3409725,method,We followed Charmaz’s constructivist approach [8],8,10.7748/nr.13.4.84.s4,,422,,,,,,,,,,,,,,,,,,
XueqiYang,https://dl.acm.org/doi/10.1145/3368089.3409726,method,Silva et al.’s motivation scheme [43],43,https://doi.org/10.1016/j.jss.2019.110487,,423,,,,,,,,,,,,,,,,,,
XueqiYang,https://dl.acm.org/doi/10.1145/3368089.3409727,metrics,employ the term functional significance [9],9,10.1037/0033-2909.125.6.627,,426,,,,,,,,,,,,,,,,,,
XueqiYang,https://dl.acm.org/doi/10.1145/3368089.3409684,method,snowballing search [107],107,https://dl.acm.org/doi/10.1145/2601248.2601268,,436,,,,,,,,,,,,,,,,,,
XueqiYang,https://dl.acm.org/doi/10.1145/3368089.3409685,stepping stone,a catalog of SPLE publications against which we compared our sample [26].,26,https://resources.sei.cmu.edu/library/asset-view.cfm?assetid=513798,,436,,,,,,,,,,,,,,,,,,
XueqiYang,https://dl.acm.org/doi/10.1145/3368089.3409686,method,"data analysis method, an open-card sorting-like method [110]",110,https://doi.org/10.1016/B978-0-12-804206-9.00027-1,,436,,,,,,,,,,,,,,,,,,
XueqiYang,https://dl.acm.org/doi/10.1145/3368089.3409680,replication,"Interview guide, survey materials, and analysis scripts can be found in the replication package of the study [9].",9,https://zenodo.org/record/4022892#.YNPfIGZKgxk,,447,,,,,,,,,,,,,,,,,,
XueqiYang,https://dl.acm.org/doi/10.1145/3368089.3409680,method,a saturation approach [19],19,https://doi.org/10.1016/C2015-0-00521-4,,447,,,,,,,,,,,,,,,,,,
XueqiYang,https://dl.acm.org/doi/10.1145/3368089.3409681,stepping stone,adopted from a previous fMRI study conducted by Floyd et al. [26],26,10.1109/ICSE.2017.24,,459,,,,,,,,,,,,,,,,,,
XueqiYang,https://dl.acm.org/doi/10.1145/3368089.3409682,dataset,human photos from the Chicago Face Database [60],60,10.3758/s13428-014-0532-5,,459,,,,,,,,,,,,,,,,,,
XueqiYang,https://dl.acm.org/doi/10.1145/3368089.3409683,metrics,conducted equivalence hypothesis tests [22],22,https://dl.acm.org/doi/10.1007/s11219-013-9196-0,,459,,,,,,,,,,,,,,,,,,
XueqiYang,https://dl.acm.org/doi/10.1145/3368089.3409684,method,This stimulus structure is broadly similar to that used by Ford et al. [27].,27,https://dl.acm.org/doi/10.1109/ICSE-SEIS.2019.17,,460,,,,,,,,,,,,,,,,,,
XueqiYang,https://dl.acm.org/doi/10.1145/3368089.3409767,tool,A tool for plagiarism checking,,,https://github.com/diogocabral/sherlock,471,,,,,,,,,,,,,,,,,,
XueqiYang,https://dl.acm.org/doi/10.1145/3368089.3409767,method,Hudson’s approach of open card sorting to analyze the answers [14].,14,https://dl.acm.org/doi/10.5555/2826087,,473,,,,,,,,,,,,,,,,,,
XueqiYang,https://dl.acm.org/doi/10.1145/3368089.3409767,data,dataset and script[12],12,https://zenodo.org/record/3951724#.YNP8B2ZKgxk,,470,,,,,,,,,,,,,,,,,,
XueqiYang,https://dl.acm.org/doi/10.1145/3368089.3409712,dataset,Eyetracking Data,,,https://drive.google.com/drive/folders/1HeZY-bg6fLhgPF4xL2EQvl9FQZLIkWau,483,,,,,,,,,,,,,,,,,,
XueqiYang,https://dl.acm.org/doi/10.1145/3368089.3409712,method,a block randomized controlled trial [72],72,https://doi.org/10.4103/0974-1208.82352,,482,,,,,,,,,,,,,,,,,,
XueqiYang,https://dl.acm.org/doi/10.1145/3368089.3409712,method,a post-survey and a NASA Task Load Index (TLX) questionnaire [35],35,https://doi.org/10.1016/S0166-4115(08)62386-9,,483,,,,,,,,,,,,,,,,,,
XueqiYang,https://dl.acm.org/doi/10.1145/3368089.3409712,metrics,measured cognitive load [73] using two proxy measures,73,https://doi.org/10.1016/B978-0-12-387691-1.00002-8,,484,,,,,,,,,,,,,,,,,,
XueqiYang,https://dl.acm.org/doi/10.1145/3368089.3409766,stepping stone,fieldwork collaborated,,https://dl.acm.org/doi/10.1145/3196369.3196374,,496,,,,,,,,,,,,,,,,,,
XueqiYang,https://dl.acm.org/doi/10.1145/3368089.3409766,method,an interaction analysis approach [15],15,https://doi.org/10.1207/s15327809jls0401_2,,497,,,,,,,,,,,,,,,,,,
XueqiYang,https://dl.acm.org/doi/10.1145/3368089.3409766,method,an ethnographic approach [30],30,10.1109/TSE.2016.2519887,,496,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
